conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1933784683512512956,Sat Jun 14 07:12:51 +0000 2025,33,ditunggu ya po tapi aku beneran berharap film kalian sukses besar. soalnya kemarin pas jumbo si gibran kan numpang nampang tuh. nah kali ini siapa tau fufufafa yang akhirnya nongol. ,1933784683512512956,,,in,,0,2,4,https://x.com/undefined/status/1933784683512512956,95858208,
1933784104245534953,Sat Jun 14 07:10:33 +0000 2025,0,Aku bangga banget pas mereka masuk berita dan diliput TV lagi sediain konsumsi buat temen-temen yang ikut demo. Pas mereka ngadain nobar film Jumbo juga aku ikut donasi. Ada masalah internal apa sih? Senggak bisa itu kah diselesaikan dengan baik-baik dan kepala dingin?,1933784104245534953,,,in,,0,0,0,https://x.com/undefined/status/1933784104245534953,4665457868,
1933471233032740904,Sat Jun 14 05:30:54 +0000 2025,0,@Adriandhy Merchandise jumbo knp ga bareng dgn film nya ?? Klo skrg dah berkurang hype nya...atau memang ga ngitung klo merchandise profit nya gede,1933759028179710001,,Adriandhy,in,,0,0,0,https://x.com/undefined/status/1933759028179710001,558557247,
1933745979175678238,Sat Jun 14 04:39:03 +0000 2025,0,Salah satu kegagalan Snyderverse adalah gak menancapkan legacy Superman ke para anak kecil di dunia. Kalah jauh lhah Superman sekarang &amp; sama legacy film Jumbo ke anak-anak Indonesia. Emang klo pengen disukai anak-anak tuh Superman harus pake kolor di luar.,1933745979175678238,,,in,,0,0,0,https://x.com/undefined/status/1933745979175678238,3314456581,
1933735482917335274,Sat Jun 14 03:57:20 +0000 2025,0, Hai! Aku sedang coba bangun blog tentang film. Aku butuh bantuan kamu untuk kasih komentar jujur di artikel ini Ulasan filmnya bisa kamu cek di sini https://t.co/bTmDvuCVBd,1933735482917335274,,,in,,0,0,0,https://x.com/undefined/status/1933735482917335274,1821407315091955712,
1933471233032740904,Sat Jun 14 03:30:37 +0000 2025,1,@saudaradina @Adriandhy Aboorijal Bakery adalah toko roti fiktif dalam film animasi Indonesia Jumbo (2025) yang berlatar di Kampung Seruni. Nama Aboorijal adalah plesetan lucu dari kata original sering dipakai dalam komedi Indonesia untuk meniru pengucapan yang salah agar terdengar mewah. ,1933728757128573033,,saudaradina,in,,0,0,0,https://x.com/undefined/status/1933728757128573033,1720665183188922368,
1933718080242557087,Sat Jun 14 02:48:11 +0000 2025,2,WTS Promo Tiket B1G1 CINEPOLIS Bisa Semua Film Harga 1 tiket + 20K = 2 tiket ️ CGV diskon 3K/Tiket Promo GJLS Final Destination MI Jumbo Lilo Stitch Ballerina How to train ur dragon Gowok Hifive Bring Her Back Keluarga Super Irit Stok Terbatas ️ #zonauang https://t.co/DLHOtnqLIO,1933718080242557087,https://pbs.twimg.com/media/GtXyV5pacAAn5tf.jpg,,in,,0,0,0,https://x.com/undefined/status/1933718080242557087,97810286,
1933713630694109461,Sat Jun 14 02:30:32 +0000 2025,0,Tau kalo aku ajakin atau kakak ku ajkin pasti kita yg bayar ga mungkin kita biarin anak 9 taun kaya dia bayar sendiri. Makanya dia ga pernah minta ini itu. Sekarang aku nyesel karna film jumbo udh ga tayang tapi dia belum nonton. Fyi aku ga akan pernah nonton film kalo ga,1933713638747222394,,cupcupcntik,in,,0,1,0,https://x.com/undefined/status/1933713638747222394,1205848269219196929,
1933713630694109461,Sat Jun 14 02:30:31 +0000 2025,0,Film jumbo. Aku ga kepikiran buat ngajakin dia. Adikku emang bukan tipe orang yang maksain mau nonton tapi dia beberapa kali ngode gitu dg sering bilang 'jumbo si tentang apa?' Tapi ga pernah minta buat nonton. Kondisi keluargaku sekarang emang lagi baik ekonominya. Dan dia,1933713634154459257,,cupcupcntik,in,,0,1,0,https://x.com/undefined/status/1933713634154459257,1205848269219196929,
1933698713886863675,Sat Jun 14 01:31:14 +0000 2025,0,eps 2 pt 1 @AlloBankID : Day 2 sedikit demi sedikit engkau akan berteman baik selain treasure aku mau nyanyi brng Prince Poetiray. alasannya krn ponakanku yg di kalimantan suka bgt sm film jumbo hadiah buat dia krn bln ini ultah. #PasBuatKamu #AlloBankFestival2025,1933698713886863675,,,in,,0,0,0,https://x.com/undefined/status/1933698713886863675,1736319161616498690,
1933471233032740904,Fri Jun 13 23:58:48 +0000 2025,2,@Adriandhy Min adain film jumbo di Netflix @NetflixID mau rewatch 100x,1933675454495666448,,Adriandhy,in,,0,0,0,https://x.com/undefined/status/1933675454495666448,1240918792747671552,
1933031893295092098,Fri Jun 13 23:33:10 +0000 2025,1,@bicaraboxoffice @VisinemaID @jumbofilm_id @Adriandhy Bangga jadi bagian dari 10 juta lebih penonton.. Klo dlu core memory mamaknya adalah film Petualangan Sherina sekarang core memory anaknya film Jumbo.. OST ny sdh hapal sebelum film tayang pula.. I'm sooooo happy... 🇮🇩🇮🇩🇮🇩,1933669003362513137,,bicaraboxoffice,in,,0,0,0,https://x.com/undefined/status/1933669003362513137,2792109827,
1933401817351926019,Fri Jun 13 22:51:10 +0000 2025,1,@bangghulam @cinepoint_ diawal jumbo 60 ribuan karena masih baru beda GJLS sudah famous makanya ketika launching langsung Joss jumbo menjadi film lebaran alternatif dimana kompetitornya horror dan perselingkuhan sampai dapat 1 JT di 1 Minggu pertama,1933658433124966697,,bangghulam,in,,0,0,0,https://x.com/undefined/status/1933658433124966697,1755499498858786817,
1906547898961252439,Fri Jun 13 22:11:06 +0000 2025,0,Hari ke-75 Jum'at (13/6) film Jumbo sudah keluar dari bioskop Java Supermall. Masih ada 2 bioskop. #Semarang #kofindo,1933648347841376744,,Kofindo,in,,0,1,3,https://x.com/undefined/status/1933648347841376744,551700617,
1906547898961252439,Fri Jun 13 22:10:39 +0000 2025,0,[Hari 75#] Jadwal pemutaran film Jumbo Jum'at (13/6): Mangkang 11:50 Citra 14:35 18:55*,1933648234611945815,,Kofindo,in,,0,1,0,https://x.com/undefined/status/1933648234611945815,551700617,
1933615099425792310,Fri Jun 13 19:58:59 +0000 2025,2,Turut senang film Jumbo bisa sesukses ini tapi maaf sekali bang ryan hidup saya yang lagi ngalor ngidul ini tidak dapat menyempatkan diri buat nonton ,1933615099425792310,,,in,,0,0,0,https://x.com/undefined/status/1933615099425792310,1244284298452062209,
1933548624732172615,Fri Jun 13 16:27:32 +0000 2025,1,@Rigensih harusnya bisa setara jumbo lah ya bang penontonnya mengingat film gjls kan jumbo nya ada 3 ,1933561887951892854,,Rigensih,in,,0,0,0,https://x.com/undefined/status/1933561887951892854,1308045880100974594,
1933471233032740904,Fri Jun 13 16:21:32 +0000 2025,0,@Adriandhy oot tapi gw bangga jumbo masuk top 1 film indo seseneng itu,1933560377222345133,,Adriandhy,in,,0,0,0,https://x.com/undefined/status/1933560377222345133,1220981400397967360,
1933546963292860941,Fri Jun 13 15:28:14 +0000 2025,39,another tweet about GJLS and jumbo tapi baru sadar kalo semester ini gue udah (dan cuma) nonton dua film indo yang sangat sangat magis bedanya yang satu magisnya kayak sihir peri di dongeng masa kecil yang satu lagi magisnya macem sihir dukun santet https://t.co/QypOozqKGv,1933546963292860941,https://pbs.twimg.com/media/GtVWt1kbMAYIw9G.jpg,,in,,1,2,3,https://x.com/undefined/status/1933546963292860941,1097417330085089280,
1933542859413864633,Fri Jun 13 15:11:55 +0000 2025,2,Hahahahah kasian banget penonton Indonesia udah diusahain dipinterin melalui Jumbo lalu kemudian dibalikin jadi goblok sama GJLS. Tolong bocorin gimana caranya meyakinkan investor dengan ide film ginian plissssss ..... Gue pikir Kuyup udah yang paling tergoblok dari GJLS https://t.co/QHd1YKpJRX,1933542859413864633,https://pbs.twimg.com/media/GtVS7NEa0AA9VHq.jpg,,in,,0,1,0,https://x.com/undefined/status/1933542859413864633,48618537,
1933424142319300788,Fri Jun 13 08:24:40 +0000 2025,0,@SIRSANGWON Aight bruh. I got it. The moment air dinginnya hits kaki all problems just vanished. Lucu banget u tuh kayak Nurman di film Jumbo suka banget nyatet-nyatet. YESS INDAHNYA SAMSAT SORE HARII.,1933440368219206094,,SIRSANGWON,in,,0,1,0,https://x.com/undefined/status/1933440368219206094,842469971544440832,
1933342123048472685,Fri Jun 13 07:03:33 +0000 2025,0,@ekowboy2 Segera borong tiketnya saya harap melebihi film jumbo.,1933419955707654496,,ekowboy2,in,,0,0,0,https://x.com/undefined/status/1933419955707654496,1747255031731281920,
1933402643571093767,Fri Jun 13 05:54:45 +0000 2025,0,Sedihh aku belum sempat nonton film ini tapi ku ucapkan selamat dan salut kepada JUMBO dan seluruh tim penonton dan supporter film ini semoga selalu sukses ke depannya dan terus berkarya!! ,1933402643571093767,,,in,,0,1,0,https://x.com/undefined/status/1933402643571093767,1630593647149477889,
1933141264234676607,Fri Jun 13 05:50:28 +0000 2025,0,@Adriandhy Bang Ryan dan semua kawan-kawan di balik layar Jumbo terimakasih seJUMBO-JUMBOnya ya sudah bikin film sehangat dan sepenuh cinta ini. Ditunggu-tunggu karya-karya selanjutnyaaaa! ,1933401562749284397,,Adriandhy,in,,0,0,0,https://x.com/undefined/status/1933401562749284397,123527341,
1933398624064733384,Fri Jun 13 05:38:47 +0000 2025,28,Diagram ini mewakili rasa jadi #BuzzerJUMBO Campur aduk banget! Senang haru bangga pokoknya sayang banget sama #JUMBO Kalian tuh bukan cuma penonton tapi bagian dari perjalanan film ini. Tanpa kalian film JUMBO nggak akan sebesar ini. Terima kasih yaa teman-teman https://t.co/utFy6YARja,1933398624064733384,https://pbs.twimg.com/media/GtTPzA5boAA6PeG.jpg,,in,,0,0,6,https://x.com/undefined/status/1933398624064733384,1678688801454194688,
1930810856864129033,Fri Jun 13 04:51:15 +0000 2025,0,Film Baru Kamis 12/6 Tayang : 1. Gaza 🆕 2. Senyum Manies Love Story 🆕 3. The Dark House 🆕 4. Keluarga Super Irit 🆕 5. GJLS: Ibuku Ibu-Ibu 🆕 6. Gowok Kamasutra Jawa Uncut 7. Tak Ingin Usai di Sini 8. Tenung by Risa Saraswati &amp; Dimasta 9. Waktu Maghrib 2 10. Jumbo &gt;&gt;,1933386660831768832,,Kofindo,in,,0,1,3,https://x.com/undefined/status/1933386660831768832,551700617,
1933381521140035795,Fri Jun 13 04:30:49 +0000 2025,0,Penonton GJLS hari pertama udah di atas Jumbo hari pertama. Fix film nomer 1 Indonesia locked. @Rigensih @hifdzikhoir @anantarispo,1933381521140035795,,,in,,0,0,0,https://x.com/undefined/status/1933381521140035795,457289948,
1933380093004689443,Fri Jun 13 04:25:09 +0000 2025,0,yang film jumbo anj ,1933380093004689443,,,in,,0,0,0,https://x.com/undefined/status/1933380093004689443,1586301684917014530,
1906547898961252439,Fri Jun 13 04:09:59 +0000 2025,0,[Hari 74#] Jadwal pemutaran film Jumbo Kamis (12/6): Mangkang 11:50 *Ketinggalan,1933376276896886976,,Kofindo,in,,0,1,0,https://x.com/undefined/status/1933376276896886976,551700617,
1933184008638390440,Fri Jun 13 03:48:05 +0000 2025,0,@moonchildren555 @bagus_carito @cinepoint_ Contohnya apa film bagus setelah Jumbo yg rijal? Karena istilah rijal yg dipake oleh Bibo bukan sekedar kurang laku tapi dari awal OR-nya rendah bgt.,1933370763824017787,,moonchildren555,in,,0,1,1,https://x.com/undefined/status/1933370763824017787,15713032,
